x,y,Z
86,64,1
53,56,1
78,33,1
7,74,0
37,49,0
90,17,1
30,88,0
63,75,1
30,21,0
63,99,1
57,53,1
42,74,0
96,73,1
72,65,1
88,12,1
65,86,1
53,61,1
66,28,1
0,69,0
15,80,0
49,24,0
31,68,0
12,90,0
77,85,1
97,74,1
96,92,1
56,3,1
29,100,0
59,74,1
58,35,1
11,52,0
49,37,0
93,92,1
70,25,1
17,70,0
61,23,1
13,78,0
49,62,0
35,77,0
26,80,0
59,21,1
62,9,1
97,5,1
25,80,0
63,68,1
51,79,1
79,20,1
74,2,1
92,76,1
53,71,1
13,3,0
18,45,0
99,14,1
97,49,1
49,78,0
58,53,1
61,99,1
45,66,0
24,94,0
20,87,0
96,28,1
13,94,0
90,53,1
52,52,1
38,39,0
27,96,0
100,97,1
62,60,1
55,25,1
25,63,0
35,35,0
89,48,1
93,38,1
6,56,0
48,43,0
69,82,1
15,51,0
59,4,1
37,35,0
92,66,1
68,10,1
59,89,1
24,36,0
54,72,1
27,61,0
21,99,0
97,33,1
59,18,1
7,50,0
63,17,1
82,6,1
6,11,0
100,81,1
41,47,0
83,19,1
76,84,1
80,97,1
12,75,0
57,66,1
9,72,0
